station,mae,mse,rmse,mape,r2,medae,evs
Hawera_NZHAX,2.075913593149812,8.832068820465445,2.971879677992608,0.1276309319245438,0.311046437215615,1.375677299499512,0.4043269689327441
Mt_Cook,2.089877114573873,21.272262127444733,4.612186263307753,0.1308788515501221,-0.1014068708329982,0.1431884765625,0.0740942187156935
Campbell_Island,1.5633506388664244,4.583986124683786,2.1410245502291154,0.1699106608890422,0.0572178002900599,1.1230588912963864,0.0573900770636593
Invercargill_NZNVA,2.4786150999069214,10.125074059192464,3.181992152597562,0.1867849260674604,0.3872345460478942,2.0247689247131344,0.3873732814702643
Port_Taharoa,1.9580429267397417,6.507543935997288,2.5509888153414724,0.1124440207240334,0.2890122579911378,1.5930900573730469,0.3061228976879399
Palmerston_N,2.618944937321776,11.41444912090773,3.378527655785539,0.1610176895170579,0.4503321740748827,2.080009174346924,0.4581216653863749
Gisborne_Aerodrome,2.5133050127029417,9.59328448324748,3.0973027755205784,0.142716336673888,0.422786872780086,2.1267372131347653,0.4260081742571054
Nugget_Point,2.1438559556007384,7.235477970519371,2.689884378652616,0.165587528239249,0.2341104592197512,1.925856971740723,0.2355057475894911
Dunedin_Aerodrome,3.2749567282366026,17.915143359204322,4.232628422056952,0.2340230075082257,0.2900799808869936,2.725429248809814,0.3209793137479471
Cape_Reinga,1.249226480960846,2.409869714308483,1.552375506863105,0.0682717923437834,0.5041916085559124,1.131324386596679,0.5059156695497675
Secretary_Island,1.97171547451222,6.293337314701847,2.508652489824337,0.1323016997994562,0.176357071368488,1.6043902397155758,0.2114813075808017
Kaitaia_Aerodrome,1.9489295835587368,11.096155688848244,3.3310892646172428,0.0959823603577519,-0.2218139031480392,0.2188883626584328,0.1219828958319914
Takapau_Plains,4.2041412131343865,41.17848356778086,6.417046327383094,0.28653470969973827,-0.7521342053270403,2.6325472831726078,-0.7382756073128784
